year,type,discipline,event,as,athlete_id,noc,medal
1932,Winter,Figure Skating (Skating),"Singles, Women",Sonja Henie,81280,NOR,Gold
1936,Winter,Figure Skating (Skating),"Singles, Women",Sonja Henie,81280,NOR,Gold
1960,Winter,Alpine Skiing (Skiing),"Slalom, Women",Barbi Henneberger,81282,GER,Bronze
1972,Winter,Speed Skating (Skating),"500 metres, Women",Anne Henning,81283,USA,Gold
1972,Winter,Speed Skating (Skating),"1,000 metres, Women",Anne Henning,81283,USA,Bronze
1936,Winter,Figure Skating (Skating),"Pairs, Mixed",Maxi Herber,81284,GER,Gold
1980,Winter,Alpine Skiing (Skiing),"Slalom, Women",Erika Hess,81288,SUI,Bronze
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Veronika Schmidt,81292,GDR,Bronze
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Veronika Hesse,81292,GDR,Gold
1952,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Mirja Hietamies,81295,FIN,Silver
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Mirja Hietamies,81295,FIN,Gold
1956,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Thea Hochleitner,81300,AUT,Bronze
1968,Winter,Speed Skating (Skating),"500 metres, Women",Dianne Holum,81312,USA,Silver
1968,Winter,Speed Skating (Skating),"1,000 metres, Women",Dianne Holum,81312,USA,Bronze
1972,Winter,Speed Skating (Skating),"1,500 metres, Women",Dianne Holum,81312,USA,Gold
1972,Winter,Speed Skating (Skating),"3,000 metres, Women",Dianne Holum,81312,USA,Silver
1936,Winter,Figure Skating (Skating),"Singles, Women",Vivi-Anne Hultén,81327,SWE,Bronze
1992,Winter,Speed Skating (Skating),"3,000 metres, Women",Emese Hunyady,81329,AUT,Bronze
1994,Winter,Speed Skating (Skating),"1,500 metres, Women",Emese Hunyady,81329,AUT,Gold
1994,Winter,Speed Skating (Skating),"3,000 metres, Women",Emese Hunyady,81329,AUT,Silver
1960,Winter,Speed Skating (Skating),"3,000 metres, Women",Eevi Huttunen,81332,FIN,Bronze
1992,Winter,Short Track Speed Skating (Skating),"500 metres, Women",Hwang Ok-Sil,81335,PRK,Bronze
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Eija Hyytiäinen,81337,FIN,Bronze
1984,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Marja-Liisa Hämäläinen,81339,FIN,Gold
1984,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Marja-Liisa Hämäläinen,81339,FIN,Gold
1984,Winter,Cross Country Skiing (Skiing),"20 kilometres, Women",Marja-Liisa Hämäläinen,81339,FIN,Gold
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marja-Liisa Hämäläinen,81339,FIN,Bronze
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marja-Liisa Kirvesniemi,81339,FIN,Bronze
1994,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Marja-Liisa Kirvesniemi,81339,FIN,Bronze
1994,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Marja-Liisa Kirvesniemi,81339,FIN,Bronze
1964,Winter,Alpine Skiing (Skiing),"Downhill, Women",Christl Haas,81346,AUT,Gold
1968,Winter,Alpine Skiing (Skiing),"Downhill, Women",Christl Haas,81346,AUT,Bronze
1960,Winter,Speed Skating (Skating),"500 metres, Women",Helga Haase,81348,GER,Gold
1960,Winter,Speed Skating (Skating),"1,000 metres, Women",Helga Haase,81348,GER,Silver
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Nataliya Isakova,81368,EUN,Bronze
1992,Winter,Figure Skating (Skating),"Singles, Women",Midori Ito,81373,JPN,Silver
1984,Winter,Figure Skating (Skating),"Singles, Women",Kira Ivanova,81375,URS,Bronze
1984,Winter,Cross Country Skiing (Skiing),"20 kilometres, Women",Anne Jahren,81385,NOR,Bronze
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anne Jahren,81385,NOR,Gold
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anne Jahren,81385,NOR,Silver
1980,Winter,Speed Skating (Skating),"3,000 metres, Women",Bjørg Eva Jensen,81395,NOR,Gold
1980,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Květa Jeriová,81398,TCH,Bronze
1984,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Květa Jeriová,81398,TCH,Bronze
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Květa Jeriová,81398,TCH,Silver
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Irma Johansson,81412,SWE,Bronze
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Irma Johansson,81412,SWE,Gold
1924,Winter,Figure Skating (Skating),"Pairs, Mixed",Andrée Joly,81421,FRA,Bronze
1928,Winter,Figure Skating (Skating),"Pairs, Mixed",Andrée Joly,81421,FRA,Gold
1932,Winter,Figure Skating (Skating),"Pairs, Mixed",Andrée Brunet,81421,FRA,Gold
1964,Winter,Figure Skating (Skating),"Pairs, Mixed",Vivian Joseph,81424,USA,Bronze
1972,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Marjatta Kajosmaa,81437,FIN,Silver
1972,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Marjatta Kajosmaa,81437,FIN,Bronze
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Marjatta Kajosmaa,81437,FIN,Silver
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marjatta Kajosmaa,81437,FIN,Silver
1948,Winter,Figure Skating (Skating),"Pairs, Mixed",Andrea Kékesy,81463,HUN,Silver
1952,Winter,Figure Skating (Skating),"Pairs, Mixed",Karol Kennedy,81467,USA,Silver
1976,Winter,Figure Skating (Skating),"Pairs, Mixed",Romy Kermer,81470,GDR,Silver
1992,Winter,Figure Skating (Skating),"Singles, Women",Nancy Kerrigan,81471,USA,Bronze
1994,Winter,Figure Skating (Skating),"Singles, Women",Nancy Kerrigan,81471,USA,Silver
1972,Winter,Speed Skating (Skating),"1,000 metres, Women",Atje Keulen-Deelstra,81478,NED,Silver
1972,Winter,Speed Skating (Skating),"1,500 metres, Women",Atje Keulen-Deelstra,81478,NED,Bronze
1972,Winter,Speed Skating (Skating),"3,000 metres, Women",Atje Keulen-Deelstra,81478,NED,Bronze
1988,Winter,Alpine Skiing (Skiing),"Downhill, Women",Marina Kiehl,81480,FRG,Gold
1960,Winter,Figure Skating (Skating),"Pairs, Mixed",Marika Kilius,81484,GER,Silver
1964,Winter,Figure Skating (Skating),"Pairs, Mixed",Marika Kilius,81484,GER,Silver
1994,Winter,Short Track Speed Skating (Skating),"1,000 metres, Women",Kim So-Hui,81497,KOR,Bronze
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim So-Hui,81497,KOR,Gold
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim Yun-Mi,81500,KOR,Gold
1998,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Kim Yun-Mi,81500,KOR,Gold
1980,Winter,Alpine Skiing (Skiing),"Slalom, Women",Christa Kinshofer,81506,FRG,Silver
1988,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Christa Kinshofer-Güthlein,81506,FRG,Silver
1988,Winter,Alpine Skiing (Skiing),"Slalom, Women",Christa Kinshofer-Güthlein,81506,FRG,Bronze
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Helena Takalo,81510,FIN,Silver
1976,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Helena Takalo,81510,FIN,Gold
1976,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Helena Takalo,81510,FIN,Silver
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Helena Takalo,81510,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Helena Takalo,81510,FIN,Bronze
1992,Winter,Speed Skating (Skating),"1,500 metres, Women",Gunda Niemann,81514,GER,Silver
1992,Winter,Speed Skating (Skating),"3,000 metres, Women",Gunda Niemann,81514,GER,Gold
1992,Winter,Speed Skating (Skating),"5,000 metres, Women ",Gunda Niemann,81514,GER,Gold
1994,Winter,Speed Skating (Skating),"1,500 metres, Women",Gunda Niemann,81514,GER,Bronze
1994,Winter,Speed Skating (Skating),"5,000 metres, Women ",Gunda Niemann,81514,GER,Silver
1998,Winter,Speed Skating (Skating),"1,500 metres, Women",Gunda Niemann-Stirnemann,81514,GER,Silver
1998,Winter,Speed Skating (Skating),"3,000 metres, Women",Gunda Niemann-Stirnemann,81514,GER,Gold
1998,Winter,Speed Skating (Skating),"5,000 metres, Women ",Gunda Niemann-Stirnemann,81514,GER,Silver
1984,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Marina Klimova,81517,URS,Bronze
1988,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Marina Klimova,81517,URS,Silver
1992,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Marina Klimova,81517,EUN,Gold
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Alevtina Kolchina,81534,URS,Silver
1964,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Alevtina Kolchina,81534,URS,Bronze
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Alevtina Kolchina,81534,URS,Gold
1968,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Alevtina Kolchina,81534,URS,Bronze
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Alevtina Kolchina,81534,URS,Bronze
1964,Winter,Speed Skating (Skating),"1,500 metres, Women",Berta Kolokoltseva,81535,URS,Bronze
1984,Winter,Alpine Skiing (Skiing),"Slalom, Women",Ursula Konzett,81539,LIE,Bronze
1994,Winter,Alpine Skiing (Skiing),"Slalom, Women",Katja Koren,81543,SLO,Bronze
1994,Winter,Alpine Skiing (Skiing),"Downhill, Women",Isolde Kostner,81551,ITA,Bronze
1994,Winter,Alpine Skiing (Skiing),"Super G, Women",Isolde Kostner,81551,ITA,Bronze
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Kaillie Humphries,118672,CAN,Gold
1992,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Yelizaveta Kozhevnikova,81557,EUN,Silver
1994,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Yelizaveta Kozhevnikova,81557,RUS,Bronze
1972,Winter,Speed Skating (Skating),"500 metres, Women",Vera Krasnova,81562,URS,Silver
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Sigrun Krause,81565,GDR,Bronze
1976,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Kathy Kreiner,81567,CAN,Gold
1992,Winter,Alpine Skiing (Skiing),"Slalom, Women",Petra Kronberger,81574,AUT,Gold
1992,Winter,Alpine Skiing (Skiing),"Combined, Women",Petra Kronberger,81574,AUT,Gold
1998,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Anzhelika Krylova,81578,RUS,Silver
1968,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Galina Kulakova,81587,URS,Silver
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Galina Kulakova,81587,URS,Bronze
1972,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Galina Kulakova,81587,URS,Gold
1972,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Galina Kulakova,81587,URS,Gold
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Galina Kulakova,81587,URS,Gold
1976,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Galina Kulakova,81587,URS,Bronze
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Galina Kulakova,81587,URS,Gold
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Galina Kulakova,81587,URS,Silver
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Hilkka Kuntola,81594,FIN,Silver
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Hilkka Kuntola,81594,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Hilkka Riihivuori,81594,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Hilkka Riihivuori,81594,FIN,Silver
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Berit Aunli,81600,NOR,Bronze
1984,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Berit Aunli,81600,NOR,Silver
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Berit Aunli,81600,NOR,Gold
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Nathalie Lambert,81617,CAN,Gold
1994,Winter,Short Track Speed Skating (Skating),"1,000 metres, Women",Nathalie Lambert,81617,CAN,Silver
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Nathalie Lambert,81617,CAN,Silver
1948,Winter,Figure Skating (Skating),"Pairs, Mixed",Micheline Lannoy,81623,BEL,Gold
1992,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Larisa Lazutina,81634,EUN,Gold
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Larisa Lazutina,81634,RUS,Gold
1998,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Larisa Lazutina,81634,RUS,Gold
1998,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Larisa Lazutina,81634,RUS,Silver
1998,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Larisa Lazutina,81634,RUS,Bronze
1998,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",Larisa Lazutina,81634,RUS,Gold
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Larisa Lazutina,81634,RUS,Gold
1992,Winter,Alpine Skiing (Skiing),"Downhill, Women",Kerrin Lee-Gartner,81647,CAN,Gold
1964,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Mirja Lehtonen,81650,FIN,Silver
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Mirja Lehtonen,81650,FIN,Bronze
1998,Winter,Speed Skating (Skating),"500 metres, Women",Catriona Le May Doan,81655,CAN,Gold
1998,Winter,Speed Skating (Skating),"1,000 metres, Women",Catriona Le May Doan,81655,CAN,Bronze
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Shelley-Ann Brown,118710,CAN,Silver
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Gerda Weissensteiner,83024,ITA,Bronze
1992,Winter,Short Track Speed Skating (Skating),"500 metres, Women",Li Yan,81673,CHN,Silver
1994,Winter,Freestyle Skiing (Skiing),"Aerials, Women",Hilde Synnøve Lid,81677,NOR,Bronze
1994,Winter,Freestyle Skiing (Skiing),"Aerials, Women",Marie Lindgren,81683,SWE,Silver
1992,Winter,Alpine Skiing (Skiing),"Downhill, Women",Hilary Lindh,81684,USA,Silver
1980,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Nataliya Linichuk,81690,URS,Gold
1952,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Siiri Rantanen,81691,FIN,Bronze
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Siiri Rantanen,81691,FIN,Gold
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Siiri Rantanen,81691,FIN,Bronze
1924,Winter,Figure Skating (Skating),"Singles, Women",Beatrix Loughran,81707,USA,Silver
1928,Winter,Figure Skating (Skating),"Singles, Women",Beatrix Loughran,81707,USA,Bronze
1932,Winter,Figure Skating (Skating),"Pairs, Mixed",Beatrix Loughran,81707,USA,Silver
1960,Winter,Figure Skating (Skating),"Pairs, Mixed",Nancy Ludington,81712,USA,Bronze
1992,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Marjut Lukkarinen,81715,FIN,Gold
1992,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Marjut Lukkarinen,81715,FIN,Silver
1980,Winter,Figure Skating (Skating),"Singles, Women",Dagmar Lurz,81720,FRG,Bronze
1972,Winter,Figure Skating (Skating),"Singles, Women",Janet Lynn,81726,USA,Bronze
1980,Winter,Figure Skating (Skating),"Pairs, Mixed",Manuela Mager,81739,GDR,Bronze
1972,Winter,Figure Skating (Skating),"Singles, Women",Karen Magnussen,81740,CAN,Silver
1984,Winter,Alpine Skiing (Skiing),"Slalom, Women",Paola Magoni,81742,ITA,Gold
1948,Winter,Alpine Skiing (Skiing),"Slalom, Women",Erika Mahringer,81745,AUT,Bronze
1948,Winter,Alpine Skiing (Skiing),"Combined, Women",Erika Mahringer,81745,AUT,Bronze
1988,Winter,Figure Skating (Skating),"Singles, Women",Elizabeth Manley,81753,CAN,Silver
1984,Winter,Luge,"Singles, Women",Steffi Martin,81767,GDR,Gold
1988,Winter,Luge,"Singles, Women",Steffi Walter,81767,GDR,Gold
1998,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Bente Martinsen,81768,NOR,Bronze
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Bente Martinsen,81768,NOR,Silver
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Sandra Kiriasis,101655,GER,Gold
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Jennifer Isacco,110773,ITA,Bronze
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Anja Schneiderheinze,110776,GER,Gold
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Barbro Martinsson,81770,SWE,Silver
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Barbro Martinsson,81770,SWE,Silver
1968,Winter,Figure Skating (Skating),"Singles, Women",Hana Mašková,81775,TCH,Bronze
1992,Winter,Alpine Skiing (Skiing),"Combined, Women",Florence Masnada,81776,FRA,Bronze
1998,Winter,Alpine Skiing (Skiing),"Downhill, Women",Florence Masnada,81776,FRA,Bronze
1984,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marjo Matikainen,81783,FIN,Bronze
1988,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Marjo Matikainen,81783,FIN,Gold
1988,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Marjo Matikainen,81783,FIN,Bronze
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marjo Matikainen,81783,FIN,Bronze
1994,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Liz McIntyre,81794,USA,Silver
1952,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Andrea Mead-Lawrence,81799,USA,Gold
1952,Winter,Alpine Skiing (Skiing),"Slalom, Women",Andrea Mead-Lawrence,81799,USA,Gold
1998,Winter,Alpine Skiing (Skiing),"Super G, Women",Alexandra Meissnitzer,81806,AUT,Bronze
1998,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Alexandra Meissnitzer,81806,AUT,Silver
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Shauna Rohbock,110779,USA,Silver
1964,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Yevdokiya Mekshilo,81807,URS,Silver
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Yevdokiya Mekshilo,81807,URS,Gold
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Yelena Melnikova,81809,EUN,Bronze
1992,Winter,Alpine Skiing (Skiing),"Super G, Women",Carole Merle,81814,FRA,Silver
1948,Winter,Alpine Skiing (Skiing),"Slalom, Women",Antoinette Meyer,81819,SUI,Silver
1968,Winter,Speed Skating (Skating),"500 metres, Women",Mary Meyers,81822,USA,Silver
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Toini Pöysti,81831,FIN,Bronze
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Toini Pöysti,81831,FIN,Bronze
1952,Winter,Alpine Skiing (Skiing),"Downhill, Women",Giuliana Minuzzo,81842,ITA,Bronze
1960,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Giuliana Chenal-Minuzzo,81842,ITA,Bronze
1968,Winter,Alpine Skiing (Skiing),"Downhill, Women",Isabelle Mir,81843,FRA,Silver
1992,Winter,Biathlon,"7.5 kilometres Sprint, Women",Antje Misersky,81845,GER,Silver
1992,Winter,Biathlon,"15 kilometres, Women",Antje Misersky,81845,GER,Gold
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Antje Misersky,81845,GER,Silver
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Antje Harvey,81845,GER,Silver
1992,Winter,Figure Skating (Skating),"Pairs, Mixed",Nataliya Mishkutyonok,81846,EUN,Gold
1994,Winter,Figure Skating (Skating),"Pairs, Mixed",Nataliya Mishkutyonok,81846,RUS,Silver
1976,Winter,Speed Skating (Skating),"3,000 metres, Women",Andrea Mitscherlich,81847,GDR,Silver
1984,Winter,Speed Skating (Skating),"1,000 metres, Women",Andrea Schöne,81847,GDR,Silver
1984,Winter,Speed Skating (Skating),"1,500 metres, Women",Andrea Schöne,81847,GDR,Silver
1984,Winter,Speed Skating (Skating),"3,000 metres, Women",Andrea Schöne,81847,GDR,Gold
1988,Winter,Speed Skating (Skating),"1,500 metres, Women",Andrea Ehrig,81847,GDR,Bronze
1988,Winter,Speed Skating (Skating),"3,000 metres, Women",Andrea Ehrig,81847,GDR,Silver
1988,Winter,Speed Skating (Skating),"5,000 metres, Women ",Andrea Ehrig,81847,GDR,Silver
1976,Winter,Alpine Skiing (Skiing),"Downhill, Women",Rosi Mittermaier,81850,FRG,Gold
1976,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Rosi Mittermaier,81850,FRG,Silver
1976,Winter,Alpine Skiing (Skiing),"Slalom, Women",Rosi Mittermaier,81850,FRG,Gold
1998,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Tatjana Mittermayer,81851,GER,Silver
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anita Moen,81856,NOR,Silver
1998,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Anita Moen-Guidon,81856,NOR,Bronze
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anita Moen-Guidon,81856,NOR,Silver
2006,Winter,Bobsleigh (Bobsleigh),"Two, Women",Valerie Fleming,110780,USA,Silver
2002,Winter,Bobsleigh (Bobsleigh),"Two, Women",Susi Erdmann,81032,GER,Bronze
1976,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Irina Moiseyeva,81859,URS,Silver
1980,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Irina Moiseyeva,81859,URS,Bronze
1948,Winter,Figure Skating (Skating),"Pairs, Mixed",Suzi Morrow,81875,CAN,Bronze
1924,Winter,Figure Skating (Skating),"Singles, Women",Ethel Muckelt,81885,GBR,Bronze
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Lyubov Mukhachova,81886,URS,Gold
1964,Winter,Speed Skating (Skating),"1,000 metres, Women",Kaija Mustonen,81890,FIN,Bronze
